Model_Num_Topics,Topic_Index,Topic_Terms
15,3,"0.081*""bank"" + 0.047*""bad"" + 0.023*""ever"" + 0.023*""get"" + 0.022*""money"" + 0.022*""customer_service"" + 0.020*""call"" + 0.014*""account"""
15,4,"0.093*""app"" + 0.078*""log"" + 0.034*""try"" + 0.026*""load"" + 0.025*""use"" + 0.025*""get"" + 0.017*""even"" + 0.017*""login"""
15,5,"0.056*""app"" + 0.037*""great"" + 0.036*""login"" + 0.024*""work"" + 0.021*""service"" + 0.020*""use"" + 0.017*""problem"" + 0.013*""time"""
15,6,"0.111*""app"" + 0.059*""open"" + 0.041*""suck"" + 0.023*""want"" + 0.018*""get"" + 0.017*""notification"" + 0.014*""download"" + 0.012*""account"""
15,7,"0.065*""zelle"" + 0.053*""sign"" + 0.042*""send"" + 0.034*""terrible"" + 0.028*""app"" + 0.026*""money"" + 0.022*""use"" + 0.016*""pay_bill"""
15,8,"0.061*""payment"" + 0.044*""easy"" + 0.038*""use"" + 0.033*""take"" + 0.030*""make"" + 0.023*""like"" + 0.019*""pay"" + 0.018*""day"""
15,9,"0.170*""update"" + 0.081*""app"" + 0.027*""use"" + 0.019*""new"" + 0.017*""need"" + 0.013*""make"" + 0.012*""late"" + 0.011*""change"""
15,10,"0.071*""card"" + 0.048*""pay"" + 0.025*""charge"" + 0.024*""credit_card"" + 0.023*""get"" + 0.022*""fee"" + 0.014*""payment"" + 0.013*""use"""
15,11,"0.139*""account"" + 0.034*""bank"" + 0.023*""check"" + 0.023*""access"" + 0.022*""get"" + 0.022*""deposit"" + 0.017*""close"" + 0.017*""transfer"""
15,12,"0.120*""good"" + 0.037*""slow"" + 0.021*""get"" + 0.013*""app"" + 0.013*""need"" + 0.012*""view"" + 0.011*""transaction"" + 0.011*""way"""
15,13,"0.120*""work"" + 0.085*""app"" + 0.027*""try"" + 0.025*""fix"" + 0.024*""time"" + 0.022*""check"" + 0.018*""get"" + 0.016*""still"""
15,14,"0.114*""app"" + 0.105*""phone"" + 0.038*""use"" + 0.032*""new"" + 0.031*""update"" + 0.026*""work"" + 0.021*""year"" + 0.021*""say"""
