Model_Num_Topics,Topic_Index,Topic_Terms
15,3,"0.032*""account"" + 0.027*""get"" + 0.020*""advance"" + 0.018*""work"" + 0.016*""say"" + 0.016*""still"" + 0.014*""sync"" + 0.014*""fix"""
15,4,"0.031*""get"" + 0.030*""app"" + 0.023*""advance"" + 0.023*""account"" + 0.022*""customer_service"" + 0.020*""would"" + 0.020*""let"" + 0.018*""terrible"""
15,5,"0.037*""app"" + 0.028*""one"" + 0.023*""help"" + 0.022*""get"" + 0.017*""change"" + 0.016*""subscription"" + 0.014*""issue"" + 0.012*""tell"""
15,6,"0.075*""app"" + 0.028*""great"" + 0.025*""account"" + 0.024*""try"" + 0.024*""work"" + 0.023*""transaction"" + 0.023*""monarch"" + 0.021*""update"""
15,7,"0.083*""app"" + 0.031*""scam"" + 0.028*""get"" + 0.026*""one"" + 0.025*""cleo"" + 0.025*""cash_advance"" + 0.021*""always"" + 0.019*""never"""
15,8,"0.054*""app"" + 0.025*""get"" + 0.019*""money"" + 0.019*""never"" + 0.018*""advance"" + 0.018*""like"" + 0.017*""use"" + 0.015*""give"""
15,9,"0.056*""app"" + 0.029*""account"" + 0.023*""would"" + 0.021*""budget"" + 0.017*""try"" + 0.017*""pay"" + 0.016*""want"" + 0.015*""know"""
15,10,"0.051*""app"" + 0.033*""get"" + 0.032*""account"" + 0.030*""time"" + 0.023*""bad"" + 0.020*""take"" + 0.019*""support"" + 0.017*""say"""
15,11,"0.073*""get"" + 0.054*""money"" + 0.038*""card"" + 0.037*""help"" + 0.028*""advance"" + 0.025*""try"" + 0.021*""pay"" + 0.019*""like"""
15,12,"0.051*""pay"" + 0.046*""advance"" + 0.035*""get"" + 0.033*""charge"" + 0.030*""fee"" + 0.030*""app"" + 0.021*""give"" + 0.019*""money"""
15,13,"0.048*""good"" + 0.046*""app"" + 0.037*""use"" + 0.033*""pay"" + 0.026*""easy"" + 0.025*""get"" + 0.018*""would"" + 0.018*""make"""
15,14,"0.081*""app"" + 0.051*""use"" + 0.043*""bill"" + 0.041*""pay"" + 0.027*""free"" + 0.026*""payment"" + 0.018*""subscription"" + 0.017*""company"""
