Review,Date,Stars
"This app is terrible, I can't deposit a check, it keeps logging me out. Doesn't the bank realize that the app has a problem, don't they read the reviews?",2025-05-12,1
freezes,2025-05-12,1
The app lets me sign in and then proceeds to immediately sign me out every single time I open the app. I have to sign in a second time every time I want to use the app. They're always under maintenance as well so what's the point of having the app if I never get to use it?,2025-05-12,1
it won't let me sign in when I do sign in it tells me that my sign in his timed out.,2025-05-12,1
no good,2025-05-12,1
"I set this app up to use my fingerprint to log in specifically because I didn't want to have to remember yet another password. Yet, the app will periodically disregard biometric login and force you use a password. Course, if you don't remember it, you have to go through a whole dog and pony show to reset it. Last 8 digits of your card, last 4 of your SSN, your PIN - twice - AND the answer to a security question. What's the point of biometrics if you're going to force people to do this?",2025-05-12,1
"Update: Biometrics issue STILL THERE! THIS IS INSANE!!! __________________________ Buggiest app ever! -Checking your balance - maintenance -Trying to start the app: biometrics off. -Entering my password: forever loading (after the biometrics turned off!) -biometrics turnes off by itself every once in a while, especially after the update. Still worst app notifications out of ALL banks in the world! BIOMETRICS DOESN'T WORK!!! It's on!!!",2025-05-11,1
keeps crashing on mobile deposit,2025-05-11,1
"This app has been messed up since the update. I login and it says thank you for visiting, and logs me out. I try logging in a second time and it claims the app is being worked on logs me out. I have to then sign in a third time just to gain access to app. Gave a two star because once I can actually login it's fine. ****Edit Version**** After months of not properly allowing me to log in, I have resulted in dropping the stars to 1 star. What is the point in having an app that you cannot log into.",2025-05-11,1
"This app sucks. Biometrics doesn't work. Auto fill doesn't work. I have to manually enter user name and password. Also , remember id doesn't work. Their help support was useless and after 5 encounters said "" we don't know what the problem is"" . They need to hire some competent programmers. This app just keeps getting worse and worse and worse and their help and support is probably the worst I've ever encountered.",2025-05-11,1
I hate this bank too many strictions you can't do anything in the middle of the night because they're posting this bank sucks,2025-05-11,1
There's always something wrong with this app,2025-05-11,1
extremely disappointed. this use to be the bestonline banking system. it has become nothing but problemartc. i do NOT recommend this banking system to anyone. complete disappointment. don't fall for it like I did. go somewhere else,2025-05-11,1
PNC I have never seen a bank app so bad or a bank so bad if you are thinking of pnc think again they do not live up to there promises to customers,2025-05-10,1
"Makes me log in again every single time. Biometrics never work, save user name/password turns itself off. Half the time I log in an d it says service unavailable.",2025-05-10,1
horrible app slow to use,2025-05-10,1
"This app used to work well, but for some reason it can no longer retain my biometrics settings. Also, it logs me out every time it sends an MFA Auth Code. I literally have to login 3 times every time I want to use the app. Please fix this and I will update my review.",2025-05-09,1
"Requires a SMS passcode *every single time I open the app.* The login process is also completely screwed up, with the password field locking up and preventing interaction, disabling biometrics randomly, etc. The app freezes and crashes constantly. It is incredible that a banking app used by millions is this poorly developed.",2025-05-09,1
The app used to work really well. Now it is awful. I have to log in twice back to back. It logs me out as soon as I submit my credentials. The mobile deposit is giving errors. Very frustrating 😡.,2025-05-09,1
"every time I sign in, it says signing you out and then I need to do it a second time. this has been happening for months now and it's very annoying",2025-05-09,1
poorly designed app and experience,2025-05-09,1
"I used to love my app. However, recently, my Low Cash Mode decisions are not available via the app and can only be accessed using the push notification that has been sent to my device. After that has been viewed or changes made, that page cannot be viewed again, because it is not available through the app now and the notification is gone.",2025-05-09,1
never updates correctly and annoying to navigate through.,2025-05-09,1
