Review,Date,Stars
"2FA every time? Ugh. Even with biometrics. Biometrics are now broken, too, so it doesn't really matter. Gotta type the password every time like it's 2008. If the app even works, which is a big ""if"" lately.",2025-05-11,1
"Sucks, been trying to make a car payment for over an hour",2025-05-11,1
number never works for verification,2025-05-11,1
"app doesn't work, will not load up",2025-05-11,1
"This app has been good but now no so much. I cleared cookies, uninstalled app, reinstalled app, at no time has it accepted my username and password yet it works on their website. Called still broken",2025-05-11,1
Have an S25 and app will not let me download new app S25 won't let me download,2025-05-11,1
doesn't give good virtual card options while waiting on ur card which is stupid aint hard to let u have access to your funds right away for this I give a 0 the rest of the app is okay but the rewards for shopping at certain stores only pay out 50% of the time,2025-05-10,1
"Signing in has become more difficult. Even though I have authorized my device and use biometrics to log in, the app still requests a code every single time. This is new and very annoying. No reason for it as the device is already approved that receives the code. No way to turn this off in the security settings.",2025-05-10,1
"I've had what was once a good experience to a very bad one. Back in 2021 I took an online course for a total charge of $3500 to one of 5 of my credit cards. They ended up charging me that every single month and my balance exceeded limits, I told capital one it was fraudulent but they later still locked and closed all my credit accounts crashing my credit score. Then last week I purchased something from Amazon accidentally using one of these closed accounts. THEY APPROVED IT. (TOS allows that..)",2025-05-10,1
out of the blue I'm a criminal as they accuse somebody of commiting fraud because an auto pay didn't go thru. how the hell is that fraud? then cancelling a long standing account on somebody that took one hell of a credit score hit on that then refusing them any right to dispute this? it's sad they have resorted to customer service being dealt with from foreign countries now. according to these foreigners they do not have a compliance dept OR A legal dept!!!! WOW!,2025-05-10,1
app freezes everytime I try to login,2025-05-10,1
"Wouldn't take my phone number, so I can't activate or use the card. Plus I got so many spam emails after being approved. I ended up destroying the card without ever even using it",2025-05-10,1
Their ID verification is finicky and a huge waste of time.,2025-05-09,1
horrible,2025-05-09,1
"horrible company. horrible customer service. don't work with their customers. 0 accommodation for people struggling. Ally, Credit one, ars both far superior companies in regards to customer service.",2025-05-09,1
I just wanted to activate my card,2025-05-09,1
capital one I've been with for 20 plus years they letting companies take my money out my bank I still don't have my money the worst bank I ever been with,2025-05-09,1
